,productLink,actualPrice,suggPrice,numReviews,avgRating,questions,answers,brand,producedIn,productCategory
1546,https://www.surlatable.com/product/PRO-150623/Ceramic+Pie+Weights,,,,,,,,,
1547,https://www.surlatable.com/product/PRO-621052/OXO+Stainless+Steel+Scale+with+Pull-Out+Display,50.00,0.0,10.0,4.9,11,76,: OXO,,Kitchen Tools
1548,https://www.surlatable.com/product/PRO-3842861/Mason+Cash+Mixing+Bowl+Cream,46.00,0.0,2.0,5.0,2,10,: Mason Cash,Portugal,Kitchen Tools
1549,https://www.surlatable.com/product/PRO-2582740/Emile+Henry+Modern+Classics+Deep+Quiche,39.95,0.0,3.0,5.0,1,21,: Emile Henry,France,Bakeware
1550,https://www.surlatable.com/product/PRO-2296929/Nordic+Ware+Leaves+and+Apples+Reversible+Pie+Cutter,14.00,0.0,0.0,0.0,1,3,: Nordic Ware,USA,Bakeware
1551,https://www.surlatable.com/product/PRO-3562766/Emile+Henry+Mini+Pie+Dish,17.95,0.0,5.0,4.8,5,38,: Emile Henry,France,Bakeware
1552,https://www.surlatable.com/product/PRO-993634/Taylor+Compact+Scale,19.95,0.0,2.0,3.0,2,6,: Taylor,China,Kitchen Tools
1553,https://www.surlatable.com/product/PRO-2752558/Stainless+Steel+Pinch+Bowls+with+Lids,10.00,0.0,3.0,5.0,3,37,: Anchor Hocking,China,Kitchen Tools
1554,https://www.surlatable.com/product/PRO-3332608/Sur+La+Table+Round+Measuring+Spoons,14.95,0.0,2.0,5.0,6,67,: Sur La Table,China exclusively for Sur La Table,Kitchen Tools
1555,https://www.surlatable.com/product/PRO-183178/Ateco+Dough+Prickler,12.00,0.0,1.0,5.0,1,22,: Ateco,,Bakeware
1556,https://www.surlatable.com/product/PRO-1678739/OXO+Good+Grips+Measuring+Cups+Set+of+7,9.95,0.0,9.0,4.666666666666667,3,51,: OXO,China,Kitchen Tools
1557,https://www.surlatable.com/product/PRO-2585966/Sur+La+Table+Platinum+Professional+Pie+Dish,19.00,0.0,7.0,5.0,5,64,: Sur La Table,the USA exclusively for Sur La Table,Bakeware
1558,https://www.surlatable.com/product/PRO-2744068/Tovolo+Precision+Pie+Crust+Cutter,10.00,0.0,2.0,3.5,1,50,: Tovolo,China,Bakeware
