,actualPrice,suggPrice,numReviews,avgRating,questions,answers,brand,productCategory,priceDiff,percentSaved,answersPerQuestion,market,sku
20,379.95,515.0,16.0,4.5625,13.0,79.0,le creuset,Dutch Ovens & Braisers,135.05,0.26223300970873786,6.0769230769230775,France,2083632
21,1999.95,2795.0,1.0,5.0,3.0,35.0,all-clad,Cookware Sets,795.05,0.28445438282647584,11.666666666666664,USA,1855733
22,499.96,910.0,22.0,4.2727272727272725,8.0,66.0,greenpan,Cookware Sets,410.04,0.4505934065934066,8.25,China,3822418
23,169.95,230.0,9.0,4.888888888888889,10.0,70.0,le creuset,Skillets,60.05000000000001,0.2610869565217392,7.0,France,1269042
24,1299.96,1969.95,1.0,5.0,3.0,6.0,mauviel,Cookware Sets,669.99,0.34010507880910684,2.0,France,2913564
25,79.96,187.0,110.0,4.663636363636363,20.0,101.0,scanpan,Skillets,107.04,0.5724064171122994,5.05,Other EMEA,3078201
26,419.96,1015.0,21.0,4.809523809523808,13.0,83.0,sur la table,Cookware Sets,595.04,0.5862463054187191,6.384615384615384,China,2393395
27,59.96,120.0,270.0,4.718518518518519,19.0,129.0,all-clad,Skillets,60.04,0.5003333333333333,6.789473684210527,China,2758415
28,59.96,175.0,56.0,4.589285714285714,32.0,149.0,sur la table,Dutch Ovens & Braisers,115.04,0.6573714285714285,4.65625,China,2091429
29,19.96,35.0,32.0,4.65625,10.0,80.0,le creuset,Dutch Ovens & Braisers,15.04,0.4297142857142857,8.0,China,198613
30,999.95,1950.0,12.0,5.0,17.0,85.0,le creuset,Cookware Sets,950.05,0.4872051282051282,5.0,France,1669332
31,999.95,1824.0,7.0,4.857142857142857,6.0,33.0,scanpan,Cookware Sets,824.05,0.45178179824561404,5.5,Other EMEA,4140687
32,169.96,285.0,42.0,4.785714285714286,15.0,95.0,le creuset,Saucepans,115.04,0.4036491228070176,6.333333333333332,France,1035534
33,99.96,220.0,1.0,5.0,3.0,10.0,greenpan,Skillets,120.04,0.5456363636363637,3.333333333333333,China,4711925
34,47.99,130.0,35.0,4.4,19.0,95.0,greenpan,Outdoor,82.00999999999998,0.6308461538461537,5.0,China,3078177
35,129.96,225.0,106.0,4.679245283018868,19.0,94.0,all-clad,Skillets,95.04,0.4224,4.947368421052632,China,3573656
36,149.96,280.0,40.0,4.9,12.0,86.0,scanpan,Skillets,130.04,0.4644285714285714,7.166666666666668,Other EMEA,3078300
37,69.96,200.0,3.0,5.0,2.0,52.0,scanpan,Saute Pans,130.04000000000002,0.6502000000000001,26.0,Other EMEA,3497534
38,529.95,757.0,2.0,5.0,5.0,44.0,staub,Dutch Ovens & Braisers,227.04999999999995,0.2999339498018493,8.8,France,1202217
39,499.96,1000.0,16.0,4.8125,15.0,88.0,scanpan,Cookware Sets,500.04,0.5000399999999999,5.866666666666666,Other EMEA,2006732
40,1199.96,1545.0,1.0,5.0,2.0,4.0,mauviel,Cookware Sets,345.04,0.22332686084142392,2.0,France,3555588
41,199.96,429.0,27.0,4.888888888888889,7.0,86.0,staub,Dutch Ovens & Braisers,229.04,0.5338927738927739,12.285714285714285,France,4156485
42,55.96,119.95,16.0,4.625,18.0,84.0,sur la table,Other,63.99,0.5334722801167153,4.666666666666667,China,1433705
43,64.96,175.0,35.0,4.771428571428571,12.0,106.0,sur la table,Dutch Ovens & Braisers,110.04,0.6288,8.833333333333334,China,3720059
44,249.96,490.0,5.0,4.8,4.0,29.0,scanpan,Saute Pans,240.04,0.4898775510204082,7.25,Other EMEA,4140760
45,149.96,305.0,17.0,4.411764705882354,12.0,65.0,all-clad,Skillets,155.04,0.508327868852459,5.416666666666668,USA,2184091
46,199.96,379.95,11.0,4.909090909090909,6.0,62.0,all-clad,Saucepans,179.98999999999995,0.4737202263455718,10.333333333333334,USA,184408
